author,title,pages,year,crossref,booktitle,ee,url,genre
"['Christoph Treude', 'Margaret-Anne D. Storey']",ConcernLines: A timeline view of co-occurring concerns.,['575-578'],2009,['conf/icse/2009'],ICSE,"['https://doi.org/10.1109/ICSE.2009.5070559', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2009.5070559', 'http://dl.acm.org/citation.cfm?id=1555077']",['db/conf/icse/icse2009.html#TreudeS09a'],inproceedings
['Alan D. Sloane'],Modeling deployment and configuration of CORBA systems with UML (poster).,['778'],2000,['conf/icse/2000'],ICSE,['https://doi.org/10.1145/337180.337634'],['db/conf/icse/icse2000.html#Sloane00'],inproceedings
"['Franz Engelmann', 'Hans Stienen', 'Ernst Lebsanft']",BOOTSTRAP: Four Years of Assessment Experience.,['568-569'],1997,['conf/icse/1997'],ICSE,['https://doi.org/10.1145/253228.253457'],['db/conf/icse/icse97.html#EngelmannSL97'],inproceedings
"['Junwen Yang', 'Cong Yan', 'Chengcheng Wan', 'Shan Lu 0001', 'Alvin Cheung']",View-centric performance optimization for database-backed web applications.,['994-1004'],2019,['conf/icse/2019'],ICSE,"['https://doi.org/10.1109/ICSE.2019.00104', 'https://dl.acm.org/citation.cfm?id=3339629']",['db/conf/icse/icse2019.html#YangYWLC19'],inproceedings
"['Sagi Ifrah', 'David H. Lorenz']",Crosscutting revision control system.,['321-330'],2012,['conf/icse/2012'],ICSE,"['https://doi.org/10.1109/ICSE.2012.6227182', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2012.6227182', 'http://dl.acm.org/citation.cfm?id=2337262']",['db/conf/icse/icse2012.html#IfrahL12'],inproceedings
"['Eric M. Dashofy', 'Nenad Medvidovic', 'Richard N. Taylor']",Using Off-the-Shelf Middleware to Implement Connectors in Distributed Software Architectures.,['3-12'],1999,['conf/icse/1999'],ICSE,['https://doi.org/10.1145/302405.302407'],['db/conf/icse/icse99.html#DashofyMT99'],inproceedings
"['Jyh-Shiarn Yur', 'Barbara G. Ryder', 'William Landi']",An Incremental Flow- and Context-Sensitive Pointer Aliasing Analysis.,['442-451'],1999,['conf/icse/1999'],ICSE,['https://doi.org/10.1145/302405.302676'],['db/conf/icse/icse99.html#YurRL99'],inproceedings
"['Oliver Laitenberger', 'Colin Atkinson 0001']",Generalizing Perspective-Based Inspection to Handle Object-Oriented Development Artifacts.,['494-503'],1999,['conf/icse/1999'],ICSE,['https://doi.org/10.1145/302405.302680'],['db/conf/icse/icse99.html#LaitenbergerA99'],inproceedings
['Richard J. Botting'],On the Economics of Mass-Marketed Software.,['465-470'],1997,['conf/icse/1997'],ICSE,['https://doi.org/10.1145/253228.253385'],['db/conf/icse/icse97.html#Botting97'],inproceedings
"['Wolfgang Dzida', 'Siegfried Herda', 'Wolf D. Itzfeldt']",User Perceived Quality of Interactive Systems.,['188-195'],1978,['conf/icse/1978'],ICSE,['http://dl.acm.org/citation.cfm?id=803209'],['db/conf/icse/icse78.html#DzidaHI78'],inproceedings
"['Hans Christian Benestad', 'Jo Erskine Hannay']",A comparison of model-based and judgment-based release planning in incremental software projects.,['766-775'],2011,['conf/icse/2011'],ICSE,['https://doi.org/10.1145/1985793.1985901'],['db/conf/icse/icse2011.html#BenestadH11'],inproceedings
"['Jim Whitehead', 'Chris Lewis 0002']",Workshop on games and software engineering: (GAS 2011).,['1194-1195'],2011,['conf/icse/2011'],ICSE,['https://doi.org/10.1145/1985793.1986042'],['db/conf/icse/icse2011.html#WhiteheadL11'],inproceedings
"['Peter Knauber', 'Giancarlo Succi']","Second ICSE Workshop on Software Product Lines: Economics, Architectures, and Applications.",['753-754'],2001,['conf/icse/2001'],ICSE,"['https://doi.org/10.1109/ICSE.2001.919160', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2001.919160']",['db/conf/icse/icse2001.html#KnauberS01'],inproceedings
"['Audris Mockus', 'David M. Weiss 0001']",Interval quality: relating customer-perceived quality to process quality.,['723-732'],2008,['conf/icse/2008'],ICSE,['https://doi.org/10.1145/1368088.1368190'],['db/conf/icse/icse2008.html#MockusW08'],inproceedings
"['Matthew B. Dwyer', 'George S. Avrunin', 'James C. Corbett']",Patterns in Property Specifications for Finite-State Verification.,['411-420'],1999,['conf/icse/1999'],ICSE,['https://doi.org/10.1145/302405.302672'],['db/conf/icse/icse99.html#DwyerAC99'],inproceedings
"['Ying Wang 0038', 'Ming Wen 0001', 'Rongxin Wu', 'Zhenwei Liu', 'Shin Hwei Tan', 'Zhiliang Zhu 0001', 'Hai Yu', 'Shing-Chi Cheung']",Could I have a stack trace to examine the dependency conflict issue?,['572-583'],2019,['conf/icse/2019'],ICSE,"['https://doi.org/10.1109/ICSE.2019.00068', 'https://dl.acm.org/citation.cfm?id=3339579']",['db/conf/icse/icse2019.html#WangWWLTZYC19'],inproceedings
['Sita Ramakrishnan'],LIGHTVIEWS - visual interactive Internet environment for learning OO software testing.,['692-695'],2000,['conf/icse/2000'],ICSE,['https://doi.org/10.1145/337180.337532'],['db/conf/icse/icse2000.html#Ramakrishnan00'],inproceedings
"['Enoch Y. Wang', 'Heather A. Richter', 'Betty H. C. Cheng']",Formalizing and Integrating the Dynamic Model within OMT.,['45-55'],1997,['conf/icse/1997'],ICSE,['https://doi.org/10.1145/253228.253239'],['db/conf/icse/icse97.html#WangRC97'],inproceedings
"['Jonathan Bell 0001', 'Nikhil Sarda', 'Gail E. Kaiser']",Chronicler: lightweight recording to reproduce field failures.,['362-371'],2013,['conf/icse/2013'],ICSE,"['https://doi.org/10.1109/ICSE.2013.6606582', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2013.6606582', 'http://dl.acm.org/citation.cfm?id=2486836']",['db/conf/icse/icse2013.html#BellSK13'],inproceedings
"['Joseph Feller', 'Brian Fitzgerald 0001', 'Scott A. Hissam', 'Karim Lakhani']",The 3rd Workshop on Open Source Software Engineering.,['785-786'],2003,['conf/icse/2003'],ICSE,"['https://doi.org/10.1109/ICSE.2003.1201285', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2003.1201285', 'http://dl.acm.org/citation.cfm?id=776950']",['db/conf/icse/icse2003.html#FellerFHL03'],inproceedings
"['Simon J. Gibbs', 'Christian Breiteneder']","Large, Multimedia Programming - Concepts and Challenges (Abstract).",['439-440'],1996,['conf/icse/1996'],ICSE,['http://portal.acm.org/citation.cfm?id=227726.227817'],['db/conf/icse/icse96.html#GibbsB96'],inproceedings
"['Yang Feng 0003', 'Zhenyu Chen 0001']",Multi-label software behavior learning.,['1305-1308'],2012,['conf/icse/2012'],ICSE,"['https://doi.org/10.1109/ICSE.2012.6227093', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2012.6227093', 'http://dl.acm.org/citation.cfm?id=2337402']",['db/conf/icse/icse2012.html#FengC12'],inproceedings
['Christian Rathke'],Human-Computer Communication Meets Software Engineering.,['216-224'],1987,['conf/icse/1987'],ICSE,['http://dl.acm.org/citation.cfm?id=41787'],['db/conf/icse/icse87.html#Rathke87'],inproceedings
"['Y. Futamura', 'T. Kawai', 'H. Horikoshi', 'M. Tsutsumi']",Development of Computer Programs by Problem Analysis Diagram (PAD).,['325-332'],1981,['conf/icse/1981'],ICSE,['http://dl.acm.org/citation.cfm?id=802545'],['db/conf/icse/icse81.html#FutamuraKHT81'],inproceedings
"['Neil A. M. Maiden', 'Cornelius Ncube', 'Suzanne Robertson']",Can Requirements Be Creative? Experiences with an Enhanced Air Space Management System.,['632-641'],2007,['conf/icse/2007'],ICSE,"['https://doi.org/10.1109/ICSE.2007.24', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2007.24', 'http://dl.acm.org/citation.cfm?id=1248893']",['db/conf/icse/icse2007.html#MaidenNR07'],inproceedings
"['Daniel Jackson 0001', 'Allison Waingold']",Lightweight Extraction of Object Models from Bytecode.,['194-202'],1999,['conf/icse/1999'],ICSE,['https://doi.org/10.1145/302405.302465'],['db/conf/icse/icse99.html#JacksonW99'],inproceedings
"['Xiaoyuan Xie', 'Zicong Liu', 'Shuo Song', 'Zhenyu Chen 0001', 'Jifeng Xuan', 'Baowen Xu']",Revisit of automatic debugging via human focus-tracking analysis.,['808-819'],2016,['conf/icse/2016'],ICSE,"['https://doi.org/10.1145/2884781.2884834', 'http://ieeexplore.ieee.org/document/7886958/']",['db/conf/icse/icse2016.html#XieLSCXX16'],inproceedings
"['Even-André Karlsson', 'Lars-Göran Andersson', 'Per Leion']",Daily build and feature development in large distributed projects.,['649-658'],2000,['conf/icse/2000'],ICSE,['https://doi.org/10.1145/337180.337498'],['db/conf/icse/icse2000.html#KarlssonAL00'],inproceedings
['Toshitsugu Nomura'],Use of Software Engineering Tools in Japan.,['263-269'],1987,['conf/icse/1987'],ICSE,['http://dl.acm.org/citation.cfm?id=41791'],['db/conf/icse/icse87.html#Nomura87'],inproceedings
"['Mika Mäntylä', 'Kai Petersen', 'Timo O. A. Lehtinen', 'Casper Lassenius']",Time pressure: a controlled experiment of test case development and requirements review.,['83-94'],2014,['conf/icse/2014'],ICSE,['https://doi.org/10.1145/2568225.2568245'],['db/conf/icse/icse2014.html#MantylaPLL14'],inproceedings
"['F. Hattori', 'K. Kushima', 'Tetsuo Wasano']","A Comparison of Lisp, Prolog, and Ada Programming Productivity an AI Areas.",['285-291'],1985,['conf/icse/1985'],ICSE,['http://dl.acm.org/citation.cfm?id=319655'],['db/conf/icse/icse85.html#HattoriKW85'],inproceedings
['Vugranam C. Sreedhar'],Mixin Up components.,['198-207'],2002,['conf/icse/2002'],ICSE,['https://doi.org/10.1145/581339.581366'],['db/conf/icse/icse2002.html#Sreedhar02'],inproceedings
"['Thong Hoang', 'Hong Jin Kang', 'David Lo 0001', 'Julia Lawall']",CC2Vec: distributed representations of code changes.,['518-529'],2020,['conf/icse/2020'],ICSE,"['https://doi.org/10.1145/3377811.3380361', 'https://ieeexplore.ieee.org/document/9284081']",['db/conf/icse/icse2020.html#HoangK0L20'],inproceedings
"['Lu Xiao 0001', 'Yuanfang Cai', 'Rick Kazman']",Design rule spaces: a new form of architecture insight.,['967-977'],2014,['conf/icse/2014'],ICSE,['https://doi.org/10.1145/2568225.2568241'],['db/conf/icse/icse2014.html#XiaoCK14'],inproceedings
"['Antonio Filieri', 'Corina S. Pasareanu', 'Willem Visser']",Reliability analysis in symbolic pathfinder.,['622-631'],2013,['conf/icse/2013'],ICSE,"['https://doi.org/10.1109/ICSE.2013.6606608', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2013.6606608', 'http://dl.acm.org/citation.cfm?id=2486870']",['db/conf/icse/icse2013.html#FilieriPV13'],inproceedings
"['Domenico Bianculli', 'Dimitra Giannakopoulou', 'Corina S. Pasareanu']",Interface decomposition for service compositions.,['501-510'],2011,['conf/icse/2011'],ICSE,['https://doi.org/10.1145/1985793.1985862'],['db/conf/icse/icse2011.html#BianculliGP11'],inproceedings
"['Jason E. Robbins', 'David M. Hilbert', 'David F. Redmiles']",Argo: A Design Environment for Evolving Software Architectures.,['600-601'],1997,['conf/icse/1997'],ICSE,['https://doi.org/10.1145/253228.253492'],['db/conf/icse/icse97.html#RobbinsHR97'],inproceedings
"['Rick Salay', 'Michalis Famelis', 'Julia Rubin', 'Alessio Di Sandro', 'Marsha Chechik']",Lifting model transformations to product lines.,['117-128'],2014,['conf/icse/2014'],ICSE,['https://doi.org/10.1145/2568225.2568267'],['db/conf/icse/icse2014.html#SalayFRSC14'],inproceedings
"['Djamel Eddine Khelladi', 'Benoît Combemale', 'Mathieu Acher', 'Olivier Barais', 'Jean-Marc Jézéquel']",Co-evolving code with evolving metamodels.,['1496-1508'],2020,['conf/icse/2020'],ICSE,"['https://doi.org/10.1145/3377811.3380324', 'https://ieeexplore.ieee.org/document/9283913']",['db/conf/icse/icse2020.html#KhelladiCABJ20'],inproceedings
"['Keith Chan', 'Zhi Cong Leo Liang', 'Amir Michail']",Design Recovery of Interactive Graphical Applications.,['114-124'],2003,['conf/icse/2003'],ICSE,"['https://doi.org/10.1109/ICSE.2003.1201193', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2003.1201193', 'http://dl.acm.org/citation.cfm?id=776831']",['db/conf/icse/icse2003.html#ChanLM03'],inproceedings
"['Narayan Ramasubbu', 'Chris F. Kemerer']",Integrating technical debt management and software quality management processes: a framework and field tests.,['883'],2018,['conf/icse/2018'],ICSE,"['https://doi.org/10.1145/3180155.3182529', 'http://ieeexplore.ieee.org/document/8453163']",['db/conf/icse/icse2018.html#RamasubbuK18'],inproceedings
['Juliana Saraiva'],A roadmap for software maintainability measurement.,['1453-1455'],2013,['conf/icse/2013'],ICSE,"['https://doi.org/10.1109/ICSE.2013.6606742', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2013.6606742', 'http://dl.acm.org/citation.cfm?id=2487035']",['db/conf/icse/icse2013.html#Saraiva04'],inproceedings
"['Nachiappan Nagappan', 'Brendan Murphy', 'Victor R. Basili']",The influence of organizational structure on software quality: an empirical case study.,['521-530'],2008,['conf/icse/2008'],ICSE,['https://doi.org/10.1145/1368088.1368160'],['db/conf/icse/icse2008.html#NagappanMB08'],inproceedings
['Michael Jackson 0001'],"Information Systems: Modelling, Sequencing and Transformations.",['72-81'],1978,['conf/icse/1978'],ICSE,['http://dl.acm.org/citation.cfm?id=803193'],['db/conf/icse/icse78.html#Jackson78'],inproceedings
['Nelson H. Weiderman'],Evaluating Software Development Environments.,['292-295'],1987,['conf/icse/1987'],ICSE,['http://dl.acm.org/citation.cfm?id=41797'],['db/conf/icse/icse87.html#Weiderman87'],inproceedings
['Jeff Huang 0001'],Scalable thread sharing analysis.,['1097-1108'],2016,['conf/icse/2016'],ICSE,"['https://doi.org/10.1145/2884781.2884811', 'http://ieeexplore.ieee.org/document/7886983/']",['db/conf/icse/icse2016.html#Huang16'],inproceedings
"['Yu-Seung Ma', 'Jeff Offutt', 'Yong Rae Kwon']",MuJava: a mutation system for java.,['827-830'],2006,['conf/icse/2006'],ICSE,['https://doi.org/10.1145/1134285.1134425'],['db/conf/icse/icse2006.html#MaOK06'],inproceedings
"['Fan Long', 'Martin C. Rinard']",An analysis of the search spaces for generate and validate patch generation systems.,['702-713'],2016,['conf/icse/2016'],ICSE,"['https://doi.org/10.1145/2884781.2884872', 'http://ieeexplore.ieee.org/document/7886946/', 'https://www.wikidata.org/entity/Q57311863']",['db/conf/icse/icse2016.html#LongR16'],inproceedings
"['Steven P. Reiss', 'Manos Renieris']",Encoding Program Executions.,['221-230'],2001,['conf/icse/2001'],ICSE,"['https://doi.org/10.1109/ICSE.2001.919096', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2001.919096']",['db/conf/icse/icse2001.html#ReissR01'],inproceedings
"['Zhaogui Xu', 'Shiqing Ma', 'Xiangyu Zhang 0001', 'Shuofei Zhu', 'Baowen Xu']",Debugging with intelligence via probabilistic inference.,['1171-1181'],2018,['conf/icse/2018'],ICSE,"['https://doi.org/10.1145/3180155.3180237', 'http://ieeexplore.ieee.org/document/8453198']",['db/conf/icse/icse2018.html#XuMZZX18'],inproceedings
"['Ke Li 0001', 'Zilin Xiang', 'Tao Chen 0001', 'Shuo Wang', 'Kay Chen Tan']",Understanding the automated parameter optimization on transfer learning for cross-project defect prediction: an empirical study.,['566-577'],2020,['conf/icse/2020'],ICSE,['https://doi.org/10.1145/3377811.3380360'],['db/conf/icse/icse2020.html#LiX0WT20'],inproceedings
"['Chengnian Sun', 'Yuanbo Li', 'Qirun Zhang', 'Tianxiao Gu', 'Zhendong Su']",Perses: syntax-guided program reduction.,['361-371'],2018,['conf/icse/2018'],ICSE,"['https://doi.org/10.1145/3180155.3180236', 'http://ieeexplore.ieee.org/document/8453094']",['db/conf/icse/icse2018.html#SunLZGS18'],inproceedings
"['Joseph P. Near', 'Daniel Jackson 0001']",Finding security bugs in web applications using a catalog of access control patterns.,['947-958'],2016,['conf/icse/2016'],ICSE,"['https://doi.org/10.1145/2884781.2884836', 'http://ieeexplore.ieee.org/document/7886970/']",['db/conf/icse/icse2016.html#NearJ16'],inproceedings
"['Miryung Kim', 'David Notkin', 'Dan Grossman']",Automatic Inference of Structural Changes for Matching across Program Versions.,['333-343'],2007,['conf/icse/2007'],ICSE,"['https://doi.org/10.1109/ICSE.2007.20', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2007.20', 'http://dl.acm.org/citation.cfm?id=1248866']",['db/conf/icse/icse2007.html#KimNG07'],inproceedings
"['Michael Pradel', 'Thomas R. Gross']",Leveraging test generation and specification mining for automated bug detection without false positives.,['288-298'],2012,['conf/icse/2012'],ICSE,"['https://doi.org/10.1109/ICSE.2012.6227185', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2012.6227185', 'http://dl.acm.org/citation.cfm?id=2337258']",['db/conf/icse/icse2012.html#PradelG12'],inproceedings
"['Bridget Spitznagel', 'David Garlan']",A Compositional Formalization of Connector Wrappers.,['374-384'],2003,['conf/icse/2003'],ICSE,"['https://doi.org/10.1109/ICSE.2003.1201216', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2003.1201216', 'http://dl.acm.org/citation.cfm?id=776862']",['db/conf/icse/icse2003.html#SpitznagelG03'],inproceedings
"['Loren Larsen', 'Mary Jean Harrold']",Slicing Object-Oriented Software.,['495-505'],1996,['conf/icse/1996'],ICSE,['http://portal.acm.org/citation.cfm?id=227726.227837'],['db/conf/icse/icse96.html#LarsenH96'],inproceedings
['Jorge Mendes 0001'],Coupled evolution of model-driven spreadsheets.,['1616-1618'],2012,['conf/icse/2012'],ICSE,"['https://doi.org/10.1109/ICSE.2012.6227225', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2012.6227225', 'http://dl.acm.org/citation.cfm?id=2337500']",['db/conf/icse/icse2012.html#Mendes12a'],inproceedings
"['Kihong Heo', 'Hakjoo Oh', 'Hongseok Yang']",Resource-aware program analysis via online abstraction coarsening.,['94-104'],2019,['conf/icse/2019'],ICSE,"['https://doi.org/10.1109/ICSE.2019.00027', 'https://dl.acm.org/citation.cfm?id=3339518']",['db/conf/icse/icse2019.html#HeoOY19'],inproceedings
"['Giovanni Denaro', 'Mauro Pezzè']",An empirical evaluation of fault-proneness models.,['241-251'],2002,['conf/icse/2002'],ICSE,['https://doi.org/10.1145/581339.581371'],['db/conf/icse/icse2002.html#DenaroP02'],inproceedings
"['Christoph Treude', 'Martin P. Robillard']",Augmenting API documentation with insights from stack overflow.,['392-403'],2016,['conf/icse/2016'],ICSE,"['https://doi.org/10.1145/2884781.2884800', 'http://ieeexplore.ieee.org/document/7886920/']",['db/conf/icse/icse2016.html#TreudeR16'],inproceedings
"['Andrea Stocco 0001', 'Michael Weiss', 'Marco Calzana', 'Paolo Tonella']",Misbehaviour prediction for autonomous driving systems.,['359-371'],2020,['conf/icse/2020'],ICSE,"['https://doi.org/10.1145/3377811.3380353', 'https://ieeexplore.ieee.org/document/9284027']",['db/conf/icse/icse2020.html#0001WCT20'],inproceedings
"['Zhijian He', 'Yao Chen', 'Enyan Huang', 'Qixin Wang', 'Yu Pei 0001', 'Haidong Yuan']",A system identification based Oracle for control-CPS software fault localization.,['116-127'],2019,['conf/icse/2019'],ICSE,"['https://doi.org/10.1109/ICSE.2019.00029', 'https://dl.acm.org/citation.cfm?id=3339522']",['db/conf/icse/icse2019.html#HeCHWPY19'],inproceedings
"['Premkumar T. Devanbu', 'Ronald J. Brachman', 'Peter G. Selfridge', 'Bruce W. Ballard']",LaSSIE: a Knowledge-based Software Information System.,['249-261'],1990,['conf/icse/1990'],ICSE,['http://dl.acm.org/citation.cfm?id=100333'],['db/conf/icse/icse90.html#DevanbuBSB90'],inproceedings
"['Ram Chillarege', 'Wei-lun Kao', 'Richard G. Condit']",Defect Type and Its Impact on the Growth Curve.,['246-255'],1991,['conf/icse/1991'],ICSE,['http://portal.acm.org/citation.cfm?id=256664.256773'],['db/conf/icse/icse91.html#ChillaregeKC91'],inproceedings
['Brian W. Beach'],Connecting Software Components with Declarative Glue.,['120-137'],1992,['conf/icse/1992'],ICSE,['https://doi.org/10.1145/143062.143104'],['db/conf/icse/icse92.html#Beach92'],inproceedings
"['Jonathan Aldrich', 'Craig Chambers', 'David Notkin']",ArchJava: connecting software architecture to implementation.,['187-197'],2002,['conf/icse/2002'],ICSE,['https://doi.org/10.1145/581339.581365'],['db/conf/icse/icse2002.html#AldrichCN02'],inproceedings
['Leon J. Osterweil'],Lessons of Current Environments.,['286'],1987,['conf/icse/1987'],ICSE,['http://dl.acm.org/citation.cfm?id=41793'],['db/conf/icse/icse87.html#Osterweil87a'],inproceedings
"['J. Guyard', 'Jean-Pierre Jacquot']",MAIDAY: An Environment for Guided Programming.,['126-137'],1984,['conf/icse/1984'],ICSE,,['db/conf/icse/icse84.html#GuyardJ84'],inproceedings
"['Yingfei Xiong 0001', 'Arnaud Hubaux', 'Steven She', 'Krzysztof Czarnecki']",Generating range fixes for software configuration.,['58-68'],2012,['conf/icse/2012'],ICSE,"['https://doi.org/10.1109/ICSE.2012.6227206', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2012.6227206', 'http://dl.acm.org/citation.cfm?id=2337231']",['db/conf/icse/icse2012.html#XiongHSC12'],inproceedings
"['Werner Dietl', 'Stephanie Dietzel', 'Michael D. Ernst', 'Kivanç Muslu', 'Todd W. Schiller']",Building and using pluggable type-checkers.,['681-690'],2011,['conf/icse/2011'],ICSE,['https://doi.org/10.1145/1985793.1985889'],['db/conf/icse/icse2011.html#DietlDEMS11'],inproceedings
['Alex Quilici'],Reverse Engineering of Legacy Systems: A Path Toward Success.,['333-336'],1995,['conf/icse/1995'],ICSE,['https://doi.org/10.1145/225014.225046'],['db/conf/icse/icse95.html#Quilici95'],inproceedings
"['Jinhan Kim', 'Robert Feldt', 'Shin Yoo']",Guiding deep learning system testing using surprise adequacy.,['1039-1049'],2019,['conf/icse/2019'],ICSE,"['https://doi.org/10.1109/ICSE.2019.00108', 'https://dl.acm.org/citation.cfm?id=3339634']",['db/conf/icse/icse2019.html#KimFY19'],inproceedings
['Mark Dowson'],Iteration in the Software Process: Review of the 3rd International Software Process Workshop.,['36-41'],1987,['conf/icse/1987'],ICSE,['http://dl.acm.org/citation.cfm?id=41770'],['db/conf/icse/icse87.html#Dowson87'],inproceedings
"['David M. Hilbert', 'David F. Redmiles']",An Approach to Large-Scale Collection of Application Usage Data Over the Internet.,['136-145'],1998,['conf/icse/1998'],ICSE,"['https://doi.org/10.1109/ICSE.1998.671110', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.1998.671110']",['db/conf/icse/icse98.html#HilbertR98'],inproceedings
['Joseph E. Urban'],Software Development with Executable Functional Specifications.,['418-419'],1982,['conf/icse/1982'],ICSE,['http://dl.acm.org/citation.cfm?id=807786'],['db/conf/icse/icse82.html#Urban82'],inproceedings
['Cheng Thao'],Managing evolution of software product line.,['1619-1621'],2012,['conf/icse/2012'],ICSE,"['https://doi.org/10.1109/ICSE.2012.6227224', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2012.6227224', 'http://dl.acm.org/citation.cfm?id=2337501']",['db/conf/icse/icse2012.html#Thao12'],inproceedings
['Reid Holmes'],Unanticipated reuse of large-scale software features.,['961-964'],2006,['conf/icse/2006'],ICSE,['https://doi.org/10.1145/1134285.1134463'],['db/conf/icse/icse2006.html#Holmes06'],inproceedings
"['José M. Drake', 'W. W. Xie', 'Wei-Tek Tsai', 'Imran A. Zualkernan']",Approach and Case Study of Requirement Analysis Where End Users Take an Active Role.,['177-186'],1993,['conf/icse/1993'],ICSE,['http://portal.acm.org/citation.cfm?id=257572.257608'],['db/conf/icse/icse93.html#DrakeXTZ93'],inproceedings
"['Rahul Gopinath', 'Carlos Jensen', 'Alex Groce']",Code coverage for suite evaluation by developers.,['72-82'],2014,['conf/icse/2014'],ICSE,['https://doi.org/10.1145/2568225.2568278'],['db/conf/icse/icse2014.html#GopinathJG14'],inproceedings
"['Muhammad Ali Gulzar', 'Matteo Interlandi', 'Seunghyun Yoo', 'Sai Deep Tetali', 'Tyson Condie', 'Todd D. Millstein', 'Miryung Kim']",BigDebug: debugging primitives for interactive big data processing in spark.,['784-795'],2016,['conf/icse/2016'],ICSE,"['https://doi.org/10.1145/2884781.2884813', 'http://ieeexplore.ieee.org/document/7886956/', 'https://www.wikidata.org/entity/Q31113336']",['db/conf/icse/icse2016.html#GulzarIYTCMK16'],inproceedings
['Udo Voges'],"Aspects of Design, Test and Validation of the Software for a Computerized Reactor Protection System.",['606-610'],1976,['conf/icse/1976'],ICSE,['http://dl.acm.org/citation.cfm?id=807737'],['db/conf/icse/icse76.html#Voges76'],inproceedings
"['Xiao-Yuan Jing', 'Fumin Qi', 'Fei Wu 0004', 'Baowen Xu']",Missing data imputation based on low-rank recovery and semi-supervised regression for software effort estimation.,['607-618'],2016,['conf/icse/2016'],ICSE,"['https://doi.org/10.1145/2884781.2884827', 'http://ieeexplore.ieee.org/document/7886938/']",['db/conf/icse/icse2016.html#JingQWX16'],inproceedings
"['Lijun Mei', 'W. K. Chan 0001', 'T. H. Tse']",Data flow testing of service-oriented workflow applications.,['371-380'],2008,['conf/icse/2008'],ICSE,['https://doi.org/10.1145/1368088.1368139'],['db/conf/icse/icse2008.html#MeiCT08'],inproceedings
"['Andrew Begel', 'Caitlin Sadowski']",2nd international workshop on user evaluations for software engineering researchers (USER 2013).,['1558-1559'],2013,['conf/icse/2013'],ICSE,"['https://doi.org/10.1109/ICSE.2013.6606786', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2013.6606786', 'http://dl.acm.org/citation.cfm?id=2487083']",['db/conf/icse/icse2013.html#BegelS04'],inproceedings
['Naftaly H. Minsky'],Independent On-Line Monitoring of Evolving Systems.,['134-143'],1996,['conf/icse/1996'],ICSE,['http://portal.acm.org/citation.cfm?id=227726.227753'],['db/conf/icse/icse96.html#Minsky96'],inproceedings
['Joanne McGrath Cohoon'],Must There Be So Few? Including Women in CS.,['668-675'],2003,['conf/icse/2003'],ICSE,"['https://doi.org/10.1109/ICSE.2003.1201253', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2003.1201253', 'http://dl.acm.org/citation.cfm?id=776912']",['db/conf/icse/icse2003.html#Cohoon03'],inproceedings
"['Davide Spadini', 'Maurício Finavaro Aniche', 'Margaret-Anne D. Storey', 'Magiel Bruntink', 'Alberto Bacchelli']",When testing meets code review: why and how developers review tests.,['677-687'],2018,['conf/icse/2018'],ICSE,"['https://doi.org/10.1145/3180155.3180192', 'http://ieeexplore.ieee.org/document/8453136']",['db/conf/icse/icse2018.html#SpadiniASBB18'],inproceedings
['Matteo Camilli'],Petri nets state space analysis in the cloud.,['1638-1640'],2012,['conf/icse/2012'],ICSE,"['https://doi.org/10.1109/ICSE.2012.6227217', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2012.6227217', 'http://dl.acm.org/citation.cfm?id=2337508']",['db/conf/icse/icse2012.html#Camilli12'],inproceedings
"['Dewayne E. Perry', 'Adam A. Porter', 'Lawrence G. Votta']",A Primer on Empirical Studies (Tutorial).,['657-658'],1997,['conf/icse/1997'],ICSE,['https://doi.org/10.1145/253228.253796'],['db/conf/icse/icse97.html#PerryPV97'],inproceedings
